,问题,选项1,选项2,选项3,选项4,答案
355,以下哪句话中“一身”的意思(或用法)与其他句子不同。,那少女约莫十六七岁年纪，一身青衫，笑靥如花,雨后，绿柳一身亮装在微风中翩翩起舞,今天我上爷爷家去玩，爷爷给我捉了一只小鸟。它有一身黑灰色的羽毛，圆圆的脸上长着一对绿豆大的小眼睛，黄黄的小嘴，细长的小腿，可爱极了,春天随着落花走了，夏天披着一身的绿叶儿在暖风儿里跳动着走来了,C
356,以下哪句话中“深深”的意思(或用法)与其他句子不同。,深深浅浅的紫色从天际流下，不见其发端，也不见其终极。花瓣上的露珠闪烁着银光，像迸溅的水花，飘飘洒洒。细细的藤蔓上挂满了花朵，在风中摇曳，没有声音,妈妈的手不像阔太太的手那样白净、柔嫩而富有光泽。她的手是黝黑、粗糙、干枯的，手背上是深深的裂纹，手心上是硬硬老茧。这双手记录着妈妈为家庭的付出，对儿女无私的爱,母爱不在于惊天动地的壮举，只深深地浸透在每一份思念，每一份叮咛，甚至是每一道目光中,那少女把刚折下的花朵放到鼻端，深深吸气，脸上浮现出陶醉的表情，更有一股惊心动魄的美丽。而那花朵在她秀美脸庞前，竟也似更加灿烂,B
357,以下哪句话中“新生”的意思(或用法)与其他句子不同。,真诚这也是我获得人们好感的唯一途径。每时每刻，我都在心中为真诚保留一个最温馨最美丽的位置，我知道只有真诚的帮助和关怀才能使那些陷入困境的人获得许多新生的力量。也只有真诚才能感动那些已经冷漠的心，让生活多一份宽容多一份友爱，多一份和谐多一份温暖，多一份美丽多一份关怀和理解,更新你的思想，你就能获得新生,"""对于被兼并的困难企业来说,这是他们摆脱困境,获得新生的良机。""",军人不是雨露，却带来了新生的希望；军人不是泉水，却带来了生命的甘甜；军人不是太阳，却带来了人间的温暖,D
358,以下哪句话中“生息”的意思(或用法)与其他句子不同。,生息力量。,勤劳善良的成都人世代在这里休养生息,"""贞观年间,唐太宗李世民采取了休养生息的策略,使国家经济得以迅速恢复振兴""",统治者应该实施休养生息的政策,A
359,以下哪句话中“牺牲”的意思(或用法)与其他句子不同。,战争来临时，真理是第一个牺牲品,不要成为改革的牺牲品。,人需要有一颗牺牲自己私利的心。屠格涅,岂不闻梁武帝宗庙以面牺牲,D
360,以下哪句话中“遗失”的意思(或用法)与其他句子不同。,好多东西都没了，就象是遗失在风中的烟花，让我来不及说声再见就已经消逝不见。许鞍,萤火虫在夜色中游动，像在寻找白天遗失的梦,让心灵变成万道霞光，穿越时空遂道，寻觅不经意间遗失的岁月；却无法重拾母亲给予我们的斑斑驳驳撒落一地而被你我忽略的珠串。那是爱的点滴，让你我，无法释怀，愧疚而失落,"""民间散存大量枪支,遗失、走火伤人的事件时有发生,大量野生动物也难以得到有效保护。""",D
361,以下哪句话中“一时”的意思(或用法)与其他句子不同。,一时恍恍惚惚，天空里又像这个又像那个，其实什么也不像，什么也看不清了，必须低下头，沉静一会儿再看。可是天空偏偏不等待那些爱好它的孩子，一会儿功夫，火烧云下去了,老师糊涂一时，学生糊涂一世,攻一时,信用是难得失的，费十年功夫积累的信用，往往由于一时的言行而失掉。池田大,C
362,以下哪句话中“世事”的意思(或用法)与其他句子不同。,淡看世事去如烟，铭记恩情存如血,只要有恒心可以使你达到目的，只有博学可以使你明辨世事，真理往往藏在事物的深底,我们都来自缘分，最终还要回归忘记，既然世事空幻，为何还要执著在无名产生的烦恼里。用烦恼的心看世界，你会无路可逃；用轻松的眼看世界，你会发现这个世界处处都是突然的美好,当我还是个不谙世事、学习成绩相当糟糕的孩子时，父亲给我的爱和鼓励；当我成了一名推销员时，他给我以不遗余力的帮助；但是当我行将执掌拥有成千上万职工的企业大权时，他却迫使我在每一个重大问题上和他争论，使我了解他思考和处理问题的方法。小托马斯·沃,D
363,以下哪句话中“事业”的意思(或用法)与其他句子不同。,奋斗者在汗水汇集的江河里，将事业之舟驶到了理想的彼岸,新华社北京９月２日电题：中国残疾人体育事业方兴未艾,要改造世界，得先改造自己；要成就事业，得先劳苦自身；要胜利登顶，得先奋力攀登,一个不注意小事情的人，永远不会成功大事业。,B
364,以下哪句话中“有事”的意思(或用法)与其他句子不同。,有事之世易为功，无为之时难为名晋书雷雨江山起卧龙。刘禹,"他心里有事,看上去不大高兴",一家有事，各家帮忙，这是村子里的好风气,凡人于无事之时，常如有事而防范其未然，则自然事不生。若有事之时，却如无事，以定其虑，则其事亦自然消失矣,B
365,以下哪句话中“外事”的意思(或用法)与其他句子不同。,目前，全省已初步形成了以外资、外经、外贸、外事、旅游、侨务和内联为主要内容，以海口、三亚、洋浦等市区为主要依托，辐射东部旅游网点、西部工业走廊的对外开放新格局。,"""由于在办理外交时举措失当,他被调离了外事部门""","""由于他在外事活动中举措失当,因此被调离外事部门。""",内事不决问张昭，外事不决问周瑜,D
366,以下哪句话中“形势”的意思(或用法)与其他句子不同。,现在就业形势非常严峻,离成功最近的时候，风险最大，形势一派大好的时候最容易犯错误,这里山高水深，形势险要，自古就是兵家必争之地,忍一时，争千秋。形势比人强时，就要忍,C
367,以下哪句话中“正是”的意思(或用法)与其他句子不同。,春天悄然而至，走到花园里，各种花卉都已开放，正是群芳吐艳，美不胜收,一夜后的大地披着露水，安谧而凌峭。而正是那一束清晨的阳光，百草万木因它而苏醒，整个世界美如一首诗意的歌谣。我们，那一束清晨的阳光，唤起了勃勃生机，唤起了满园盛景。进取昂扬、风华正茂,自己脑子里只装满着自己，这种人正是那种最空虚的人。莱蒙托,我荒废的今日，正是昨日殒身之人祈求的明日,A
368,以下哪句话中“一手”的意思(或用法)与其他句子不同。,帮他一手,王老师一手握笔，一手托腮，看着眼前的难题，紧皱着眉头，冥思苦想着,呀，小红遇到了难题。她一手托着下巴，一手搔着头发，紧皱眉头，两颊涨得通红,弟弟一手拎着水桶，另一手拿着抹布，一会儿擦交通岗台，一会儿又擦栏杆，干得热火朝天,A
369,以下哪句话中“私人”的意思(或用法)与其他句子不同。,任用私人,公法不得被私人简约变通,对于无家可归的人而言，私人医疗纯粹是天方夜谭,不要企图捆住男人，时时查他的行踪，翻查他私人的东西。男人会认为失去了自由，没有男人心甘情愿为了一个女人放弃自由,A
370,以下哪句话中“所以”的意思(或用法)与其他句子不同。,瀑布对悬崖无可畏惧，所以唱出气势磅礴的生命之歌,我们每个人的生命只有一次，所以都要珍惜生命，不能拿生命开玩笑，一定要随时随地都要安全意识,狗熊：狗熊的头简直像狗一样，所以才得了“狗熊”这样一个俗名,忘乎所以,D
371,以下哪句话中“陶冶”的意思(或用法)与其他句子不同。,古筝是中国传统的一门优雅艺术，它不但可以陶冶人的情操，还可以预防近视，锻炼手脑的统一,听是一种享受，陶冶我们的情操；听是一种感觉，使我们更好的去了解自然的真谛；听是一种能力，净化我们的心灵,"""他们在自己平凡的岗位上,年复一年,日复一日,尽其所能以自己的聪明才智,教孩子们知识技能,对孩子们进行美的教育,陶冶孩子们美好的心灵。""",一本好书就是一个好社会，它能够陶冶人的感情与气质，使人高尚,C
372,以下哪句话中“一体”的意思(或用法)与其他句子不同。,“园中有城”，山、水、城、林、园、镇为一体，古典与现代完美结合、古韵今风、和谐发展的国际化大都市,清晨雨依然淅沥的下着，远处的山和天已浑然一体，山连着天，天环着山，虽然天气还有点暗，但山那触摸天的高傲姿态仍清晰可见,在先后拖管、兼并了省电子科研所等４家企业之后，蓝欣获得了进一步发展的空间，扩大了企业的产销规模，为企业实施科工贸一体发展的经营战略创造了条件。,苍山19座山峰连为一体，宛如一条蜿蜒盘旋的巨龙，环绕着整个大理，成了一座天然的“挡风屏障”,C
373,以下哪句话中“问题”的意思(或用法)与其他句子不同。,只要你还活着，你就没有理由逃避问题，你也有机会找到解决问题的方法,我们同学的思想变得很敏锐，这些问题提得很好,你们之间存在着这种问题，那你要先问问自己，是否真正在爱才好,很多人在生活中所犯的错误往往被看作德性问题，实际上却是心理问题,B
374,以下哪句话中“条子”的意思(或用法)与其他句子不同。,他帮助犯人们写信，递条子，捎带衣物和书籍,她看了他塞给她的条子，原来是一次约会。去，还是不去？她心事重重。他和她同乡又同学，平时交往较多。如果不赴约，怕伤了他的心；如果赴约，怕掉入“早恋”的泥沼，该怎么办呢,她发现他已经走了，给他留下了一张条子。从此便如泥牛入海，没有得到过他的任何消息了,手里拿着白条子的农民怒气冲天，集体拥向市政府,D
375,以下哪句话中“一头”的意思(或用法)与其他句子不同。,"""黄成智『啊』地一声惨叫,一头栽倒在地。""",外婆年已七旬，一头的短发像罩一了一层白霜，一双大眼睛已经深深地陷了下去，嘴里的牙也已经快脱光，一双粗糙的手爬满了一条条蚯蚓似的血管，那饱经风霜的脸上刻满了皱纹，像是记载着她70年来的千辛万苦,父亲他长着一头乌黑的头发，一双大眼睛炯炯有神，再加上一对浓黑的眉毛显得十分的有神。父亲非常爱上电脑，一双有力的大手在键盘上运动自如，像两只蝴蝶在上面翩翩起舞,她那一头剪短了的头发乱蓬蓬的，像个孵蛋的母鸡尾巴,A
376,以下哪句话中“团团”的意思(或用法)与其他句子不同。,远远望去，那些树叶一丛丛，一团团，一簇簇，像是亲密无间的朋友在说悄悄话。红的似火，粉的似霞，黄的似金，绿的似翠，它们争奇斗艳，在阳光下闪闪发光,远远地眺望，草地上有团团白云在蠕动，原来这是牧场的羊群，一只只白生生的，肥壮可爱，使草原更加生的小鸟儿唧唧喳机勃勃,美人蕉的花远看像一团团熊熊燃烧的火，近看像小姑娘头上的红蝴蝶结,抬头便望见了那一团团，一簇簇的的紫藤花。微风拂来，一朵朵紫藤花你挤我拥好不热闹,B
377,以下哪句话中“微微”的意思(或用法)与其他句子不同。,湖水在枯草丛里微微低语，远处不时传来一两只小鸭的扑翅声，使月夜的湖面更显得孤寂和冷清,"""如今,微微风簇浪已散作满河星,他们已经成为我军建设的中流砥柱。""",那美丽的眼睛下面有一个微微上翘的小鼻子，还有两片红红的小嘴唇,一对小嘴角微微翘起，就是在哭的时候，人们还以为她是嘿嘿笑哩,B
378,以下哪句话中“一味”的意思(或用法)与其他句子不同。,面对异议要用行动证明，要坦诚沟通；一味抱怨、逃避和冷战就是懦夫,幸福是灵魂的一味香，充填在世界上的每一个角落；幸福是高原上的一朵花，只有你攀登上去，才能领略她的美丽；幸福是家中独有的温暖，很普通，却很充实,一个人一味地贬低别人并不能显示其伟大，真正高尚的人往往是在对待别人的失败中，显示其伟大人格的。暖言胜金，我们不可能给人太多的馈赠，但可以给予别人自尊和理解，它带给我们的可能是终生的尊重和感激,没有人愿意和总是虚伪、圆滑的人打交道，但是一味的诚实，却也容易伤害人。所以，生意人讲究的是大诚实，即在适当的时候，对适当人，说适当的话。如果坦率无忌是一种伤害，那么，请选择机智的“谎言”,B
379,以下哪句话中“一向”的意思(或用法)与其他句子不同。,婶婶做事一向小心，走一步看三步，遇事总是多准备几手,珍珠以它的温馨，雅洁，瑰丽，一向为人们钟爱，被誉为珠宝皇后,蓄力待时，并兵一向。,他一向相信那曾经征服世界的剑和拳头的力量将永远支配着世界，如今生平第一次看见了在这种力量之外还有别的东西。显克微,C
380,以下哪句话中“有心”的意思(或用法)与其他句子不同。,我心里实在过意不过去，但有心无力，只好默默祝他走运,我心里甜蜜蜜的，心想：世上无难事，只怕有心人。这句古话说得没错，世上没有做不到的事，只怕你不去做呀,保护环境，要你十分留心，十分细心，十分有心,有心能知，有情能爱，有缘能聚，有梦能圆,C
381,以下哪句话中“修整”的意思(或用法)与其他句子不同。,街道修葺一新，大部分的房子也都进行了修整，该雕梁画栋的雕梁画栋，该粉刷的也粉刷了，显得整齐而美观,我特地到理发店修整了发型,今年雨水大，不要以为大堤修整过一次，就可以高枕无忧了,居民修整著自己的城市，他们在墙上作画，把街上的圆柱装饰得美轮美奂，在住屋里镶嵌上马赛克地板,B
382,以下哪句话中“严重”的意思(或用法)与其他句子不同。,最严重的浪费就是时间的浪费,挥霍金钱是败坏的财物，虚度年华是败坏人，比前者更严重,无聊，对于道德家来说是一个严重的问题，因为人类的罪过半数以上都是源于对它的恐惧。罗,为人严重有威。,D
383,以下哪句话中“中央”的意思(或用法)与其他句子不同。,在草坪中央几方丈的地面上，聚集着数不清的蝴蝶，仿佛是一座五色缤纷的花坛,有这样的情况，甚至范围很小的模范的地方工作，也比中央许多部门的国家工作有重要的全国性意义。列,1978年，党的十一届三中全会作出了实行改革开放的重大决策。1979年，党中央、国务院批准广东、福建在对外经济活动中实行“特殊政策、灵活措施”，并决定在深圳、珠海、厦门、汕头试办经济特区，福建省成为全国最早实行对外开放的省份之一,没有研究心的人不会进步。所以，中央研究的成立，就是要以电器的研究，来促进人类繁荣与同业的发展，就如同开发新药一样，不断研究新电器供应世人,A
384,以下哪句话中“样子”的意思(或用法)与其他句子不同。,他空咽一口唾液，再选一粒来咬。这回他剥时非常小心，把咬碎了的瓜子陈列在舱中的食桌上，俯伏了头，细细地剥，好象修理钟表的样子,妹妹在学爬的时候特好笑，先一个翻滚动作趴起来，然后把一双白嫩嫩的手竖起来，再把屁股一跷，因为妹妹还不会把脚往中间收起来，所以当屁股跷起来的时候双脚一蹬，就动了点，就像毛毛虫那样，慢慢的爬，样子极好笑,你笑起来的样子最为动人，两片薄薄的嘴唇在笑，长长的眼睛在笑，腮上两个陷得很举动的酒窝也在笑,他约是3，4岁的样子，双眼里透露着只有孩子才有的纯净，一张小脸笑起来眼睛弯成月牙一样，露出洁白的牙齿，惹人疼爱。脸蛋上还有着婴儿肥，不高兴时撅起粉嘟嘟的小嘴，依稀还带着未擦净的口水。当真是可爱极了,D
385,以下哪句话中“作业”的意思(或用法)与其他句子不同。,作业库,我有时候，写完作业，就到蝈蝈面前看到它的长长的触角，我就用手轻轻的动一下它的触角，他的触角就往下移动，再一动，又往上移动，然后开始“吱吱”的叫起来了，就因为它这么奇怪，才叫他“奇奇”的,哥哥惭愧地红着脸，眼帘也不敢抬，好像一个没筹备好作业的学生，碰到老师抽查的情景,寒假作业就是：俺写一个月，老师写一个阅,A
386,以下哪句话中“主义”的意思(或用法)与其他句子不同。,世上只有一种英雄主义，就是在认清生活真相之后依然热爱生活。,真正的个人主义在于把你自己这块材料铸造成个东西。有时候，我觉得这个世界就好像大海上翻了船，最要紧的是救出我自己。救国需从救出你自己开始。,门罗主义,真正的爱国主义不应表现在漂亮的话上，而应表现在为祖国的谋福利，为人民谋福利的行动上。杜勃罗留波,C
387,以下哪句话中“迎风”的意思(或用法)与其他句子不同。,坚强是强壮的枝干它可以让树迎风不倒；坚强是屹立的风帆它可以让船破浪前行；坚强是坚固的地基它可以让楼房百年不塌,听到这个好消息，姐妹俩手拉手跳着，笑着，花裙子迎风摆动，活像一对活泼、愉快的花蝴蝶,牡丹花瓣繁密，迎风摇曳，好像垂手舞演员不停地摇动身上的佩玉,海风吹过岸边，婆娑的绿树迎风摇曳，看海的人襟飘带舞,A
388,以下哪句话中“悠悠”的意思(或用法)与其他句子不同。,我悠悠忽忽地漫游了一下午，直至夕阳亲吻着西山的时候，红鸠鸟的歌声才把我的心灵唤回来,悠悠之谈，宜绝智者之口。,几片白云又高又远，淡淡地，慢悠悠地飘着，自在得像荷塘里那一片纯白洁净的睡莲,白云变化莫测看，一朵像狗熊似的云团，慢悠悠的过来，一副憨头憨脑的样子,B
389,以下哪句话中“游行”的意思(或用法)与其他句子不同。,游行的人们高举起花束，欢呼着走过天安门广场,我愿我能在横过孩子心中的道路上游行，解脱了一切的束缚；……在那儿，理智以它的法律造为纸鸢而飞放，真理也使事实从桎梏中自由了。泰戈,游行的队伍如大海的怒涛，势不可挡,游行的人们挥动着手中的鲜花,B
390,以下哪句话中“至于”的意思(或用法)与其他句子不同。,屈原至于江滨，被发行吟泽畔,梦里花落知多少中的即使不成功，也不至于空白。,诗之为教，其效至于动天地，感鬼神。朱彝,是因为秋天太过于凄凉，以至于我难以接受一些生机勃勃的事物吗？这半树花开为何更显得凄厉？朋友推荐给我的听的欧美摇滚，令我有些失神，令我像是站在世界的外端望着这个世界，茫然的，惆怅的，带着眼泪的,A
391,以下哪句话中“正道”的意思(或用法)与其他句子不同。,名节重泰山，正道是清廉,阿谀奉承只能荣于生前，正道直行方可垂名青史,父母的一句谎言，让涉世不深的孩子重归正道；老师的一句谎言，让彷徨学子不再困惑；医生的一句谎言，让恐惧的病人由毁灭走向新生……善意的谎言不会玷污文明，更不会扭曲人性,为人正道、不搞歪道，要说到做到；办事公道、不走邪道，要直道清道；业务精道，能说出道道，要学到老道；宣传布道，要能言善道，要做向导引导,D
392,以下哪句话中“长征”的意思(或用法)与其他句子不同。,"秦时明月汉时关,万里长征人未还。",喧天锣鼓，卷地红旗舞。革命长征万里路，极尽人间艰苦。今朝四海同声，欢呼抗战功成。喜见漫山遍野，火光星月齐明,1934年10月，他们开始了举世闻名的二万五千里长征,这只是万里长征的第一步！毛泽东,A
393,以下哪句话中“组织”的意思(或用法)与其他句子不同。,一般青年的任务，尤其是共产主义青年团及其他一切组织的任务，可以用一句话来表示，就是要学习。,"树桑麻,习组织",伟大的事业，需要决心，能力，组织和责任感。,没有组织就没有管理，而没有管理也就没有组织。管理部门是现代组织的特殊器官，正是依靠这种器官的活动，才有职能的执行和组织的生存。,B
394,以下哪句话中“长短”的意思(或用法)与其他句子不同。,万一有个长短。,阮小七疙疸脸横生怪肉，玲珑眼突出双睛。腮边长短淡黄须，身上交加乌黑点。浑如,这大娘骂起人来，就像雨打芭蕉。长短句，四六体。一气呵成,生命不在于长短，而在于活得有意义,A
395,以下哪句话中“缺口”的意思(或用法)与其他句子不同。,"今日之获,不角不牙,衣褐之徒,缺口而长须。","""独联体内一些国家想用加强相互间关税壁垒的办法来弥补预算收入中的缺口,结果造成了与第三国做生意比独联体内部贸易合算的局面,使独联体国家内的贸易在它们整个对外贸易中的比重呈下降趋势。""","""其次,一般消费品已基本上不存在供求缺口,激烈的市场竞争正在促使生产厂商在产品质量、品种、规格等方面上档次;""","""前几年我国一度发生严重的通货膨胀,说到底是由于经济过热,投资规模急剧膨胀,消费需求迅速攀升,导致货币供应大幅扩张,造成总需求较大地超过总供给,平衡缺口只能靠多发票子、产品涨价来弥补,从而拉动整个物价总水平上涨。""",A
396,以下哪句话中“明快”的意思(或用法)与其他句子不同。,以人为本，用简约明快的手法表现居室空,窗外蒙蒙细雨，想伴奏这一支小舞曲。曲调是多么明快！这是一曲无字的歌谣！雨，像天庭飘下来的千万条银丝。雨水打湿了人们的衬衣，人们打起伞，远远望去，像千万朵五颜六色的花儿,善作短文，句子也短，简洁明快。,那幅水彩画，意境很好，色彩也十分明快。,D
397,以下哪句话中“宽松”的意思(或用法)与其他句子不同。,列车开动以后，拥挤的车厢略为宽松了一些。,伦敦能成为金融中心，正因为其独树一帜的宽松监管制度，如今这些已是明日黄花,"""他认为美联储的量化宽松政策为""""以邻为壑""""的货币贬值策略，实际上是在从其它经济体窃取增长""",因为云南虽远离故土亲人，却有相对宽松的政治环境和优美的环境，加之同调诗友间诗酒唱和，酣歌对吟，自由恣，亦能自得其乐,A
398,以下哪句话中“情况”的意思(或用法)与其他句子不同。,希望在任何情况是都是必需的，如果没有希望的安慰，贫困、疾病、囚禁的悲惨境遇就会不能忍受,情况遒明,无论什么时候，不管遇到什么情况，我绝不允许自己有一点点灰心丧气,在别人需要帮助时，如果一个人能在别人不知情的情况下，毫不犹豫地牺牲自己的利益，哪怕牺牲的只是一点点，也是难能可贵的。帮助别人常常是帮助了自己,B
399,以下哪句话中“下落”的意思(或用法)与其他句子不同。,今日教人下落了我恁一顿。,鹅毛般的雪花簌簌地不断往下落，织成了天幕雪帘。如同柳絮一般，银一样的白，玉一样的润，一朵朵、一簇簇，纷纷扬扬、冉冉飘落，闪着寒冷的银光。它是天公派来的小天使？还是有人在天上撒下无数透明洁白的梨花瓣,起初，雨水像断了线的珠子“哗哗”地下落，不一会，天地间像挂了一个巨大的珠帘。闪电撕扯着天空，惊雷震撼着大地，雨如瓢泼似盆倾，院子很快成了小水坝,雪从空中飘飘洒洒地下落，像鸟一样疾。风来了，雪就在天宇里纷纷扬扬地曼舞，像烟一样轻。雪片贴在清凉的脸上，像玉一样润。它从空中洒下来亲吻着久别的大地，拥抱着可爱的故乡。啊，北国的第一场雪,A
400,以下哪句话中“着落”的意思(或用法)与其他句子不同。,民国八十一年，离开台湾整整三十个年头，因为与画廊签约，基本生活费有了着落，夏阳回来了。,先生被裁员，孩子学费没着落怎么办？妇女团体到立法院前抗议，请立委正视失业率上升的问题。,此事着落开封府办理。,"""大山顶总面积41万亩,山顶13万多亩草山荒山,由于海拔、气候诸原因,种粮粮难收,种树树不长,农民温饱没有着落。""",C
401,以下哪句话中“起来”的意思(或用法)与其他句子不同。,春天在一点一点化开的过程中，一天天地羽翼丰满起来了。待它可以展翅高飞的时候，解冻后的大地，又怎能不做了春天的天空呢,你起来给老大爷让个座儿,聪明人有恰到好处的糊涂，糊涂人在该糊涂时却聪明起来,雾气骚动起来了，好像是白姑仙女要收回那美丽的虚影。当薄纱一缕缕地渐渐消逝之际，整个大地也在一分分地显露出来了,B
402,以下哪句话中“往来”的意思(或用法)与其他句子不同。,我们主张和邻国和睦相处，友好往来,鸡犬之声相闻，老死不相往来。,往来兴废,与和自己有往来的公司共存共荣，是企业维持长久发展的唯一道路,C
403,以下哪句话中“无赖”的意思(或用法)与其他句子不同。,爱国主义是无赖最后的避难所,以无赖的手段对付无赖，以流氓的手段对付流氓。鲁,醉汉有一条白痴的舌头和一个无赖的心灵。,最喜小儿无赖，溪头卧剥莲蓬。,D
404,以下哪句话中“生理”的意思(或用法)与其他句子不同。,人和兽的区别：人有理性，兽无理性。人的爱不只是生理上一时的冲动，而是爱能在他们的精神上留下不可磨灭的影子。谢觉,安则物之感我者轻，和则我之应物者顺，外轻内顺，而生理备矣,她以坚强的毅力，克服了生理上的缺陷，终于考上了大学,生理是心理的镜子。每个人都是他自己的朋友和杀手。许多人的疾病其实是自身心理攻击生理造成的。毕淑,B
405,以下哪句话中“口子”的意思(或用法)与其他句子不同。,因为干渴，李宏的嘴唇上裂开了好几个口子,连日的干旱，使河床裂出了大口子,"到过两广,出过口子",转眼间雨声连成一片轰鸣，天像裂开了无数道口子，暴雨汇成瀑布，朝大地倾泻下来,C
406,以下哪句话中“上来”的意思(或用法)与其他句子不同。,昨夜，春笋穿破泥土，从地下钻了上来；昨夜，小草被春风换下了黄衣服，换上了新绿装，保卫着大地；昨夜，一棵柳树冒出了第一片鹅黄的嫩叶；昨夜，一棵桃树泛出了点点粉红,早上的太阳在东方一点一点的爬上来，没过一会二，东边的云彩变的深红起来,月亮升上来了，像是刚刚脱水而出的玉轮冰盘，不染纤尘,你是什么时候调上来的,D
407,以下哪句话中“过去”的意思(或用法)与其他句子不同。,不要活在过去的阴影里，把每天当作人生的新一天，生活才会多彩多姿,"""回忆缠绵着我的点滴思绪，勾勒着埋藏深久的过去眷恋以往烟雨。不想再停留在过去，不想生活在回忆。生活还在继续，学习需要努力，我要再接再厉""",遇到困难不要抱怨，既然改变不了过去，那就改变未来,"这水沟就一米来宽,我们跳过去就是",D
408,以下哪句话中“勉强”的意思(或用法)与其他句子不同。,慈悲不是出于勉强，它是像甘露一样从天上降下尘世；它不但给幸福于受施的人，也同样给幸福于施与的人,作为一种手段，商人还勉强能让容忍；作为一种目的，他可就不那么令人满意了。,妈妈来到我的房间，我勉强抬起头，但一看见她那异常严峻的目光，又赶紧低下了头,宽容就是在别人和自己意见不一致时也不要勉强。,D
409,以下哪句话中“简直”的意思(或用法)与其他句子不同。,对什么都无所谓的人，能谈恋爱简直就是开玩笑,你现在简直说完了才走,她两条腿又粗又短，活像老式沙发的支座，身子简直像个大圆桶,狗熊：狗熊的头简直像狗一样，所以才得了“狗熊”这样一个俗名,B
410,以下哪句话中“平凡”的意思(或用法)与其他句子不同。,"""不平凡的1997年匆匆而过,我们迎来了充满希望的1998年。""","""1997年,是中国发展历史上非常重要的很不平凡的一年。""",自己未曾找到伟大的幸福的人，无权要求别人拒绝平凡的幸福。自己已经找到伟大的幸福的人，无意要求别人拒绝平凡的幸福,往有这样的情形：为科学和技术开拓新道路的，有时并不是科学界的著名人物，而是科学界毫不知名的人物，平凡的人物，实践家，工作革新者。斯大,D
411,以下哪句话中“什么”的意思(或用法)与其他句子不同。,爱是什么？爱是烈日下的一片浓荫，让在炎热下工作的人感受一丝凉意。爱是什么？爱是大海上的一艘轮船，把我们安全的送到彼岸。爱是什么？爱是一个无言的指路人，让,凝望夜空，是否只见月亮和她的眼泪呢？是的，或许只能看到这些！没有谁会在意为了衬托月亮和星星的光芒而存在的黑暗！它又是什么呢？没有人会在意它的存在,"什么,不吃早餐啦!",幸福是什么？幸福是积极地生活态度，是一份好心情，是温暖的关爱，是真诚的赞美，是快乐的分享，是无私的奉献,C
412,以下哪句话中“稳健”的意思(或用法)与其他句子不同。,自强不息，务实创新，稳健经营，追求永续,扩张中不忘谨慎，谨慎中不忘扩张。……我讲求的是在稳健与进取中取得平衡。船要行得快，但面对风浪一定要捱得住,低调做人，你会一次比一次稳健；高调做事，你会一次比一次优秀,我的宗旨一向是逐步稳健发展，既不要靠耸人听闻的利润，也不要在市场不景气时，突然有资金周转不灵的威胁。包玉,D
413,以下哪句话中“时节”的意思(或用法)与其他句子不同。,"""比如同是描述人与人之间的关系,傅太平的《端阳时节》朴素而平实,阿宁的《坚硬的柔软》于平易中寓深刻,西的《青衣花旦》梦境一般的明净,都是1997年值得一读的作品。""",已是寒冬时节，放眼望去，棵棵树木银装素裹，冰挂吊在树枝上摇摇欲坠，看一片白，仿佛远处飘来一阵香气，柔柔地，淡淡地散开…,暮春时节，天气更暖和了。田里到处是热闹的蛙鸣；黄鹂、杜鹃悠徐地发出婉丽的啼声；茁壮的秧苗青翠欲流；堤上的杨柳，已经把鹅毛似的飞絮漫天漫地的洒下来,这已是初冬时节，林子里的落叶、枯枝，厚厚地铺了一地，脚踩上去，软绵绵的,A
414,以下哪句话中“界限”的意思(或用法)与其他句子不同。,天刚见明，我背着书包，徒步走在上学路上。天和地的界限是那么朦胧：山是白的，天是白的，水上也飘着白雾。我想摸摸这奇怪的雾，可它像个调皮的孩子，一会儿逃向东，一会儿逃向西…,亲情，是人类共同的情感没有历史地域的界限；是难知源头，没有尽头的纽带，它连着一颗颗炽热的心,"长江天堑,界限南北",法律是权利与权力的界限,C
415,以下哪句话中“大军”的意思(或用法)与其他句子不同。,雨滴像百万大军从天而降，滂沱大雨铺天盖地！雨像疯狂的野兽，带着巨大的怒吼声，不顾一切宣泄着,新疆驻扎着一批垦荒大军,为了达到伟大的目标而团结，为此所必需的千百万大军应当时刻牢记主要的东西，不因那些无谓的吹毛求疵而迷失方向。恩格,"""建设大军浩浩荡荡地开进金水滩,再过几年,这里将建成一座大型水电站。""",A
416,以下哪句话中“自立”的意思(或用法)与其他句子不同。,自立能使人明白什么叫孤独落寞；自立能使人感到世间冷暖；自立能使人明白生存的艰辛；或许自立会催人长大，更会催人变老；但自立更是成功的起始点,不能设想，一个没有强大精神支柱的民族，可以自立于世界之林。江泽,自立是船，载着你驶向成功的彼岸；自立是灯，引导你走向成功大道；自立是羽翼，帮助你飞向成功的云霄,自立为王,D
417,以下哪句话中“门路”的意思(或用法)与其他句子不同。,今天想，明天算，不如您的眉头一展门路宽；今天看，明天转，不如您的妙计能挣钱。我的门市明天开业，您的光临定能使我的门市蓬荜生辉，腰缠万贯。诚挚邀请您明天上午8时28分届时光临,他的父亲找了无数门路替他在政府部门找了一个工作，然而他却沉溺于声色犬马列之中，大家都说他恬不知耻,"""现在,下岗职工再就业的门路越来越宽广""","""他官儿虽不大,但因为关系广,门路多,所以也居然臣门如市""",C
